track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals
KSJT20250119-2,KSJT20250120_022205_V06,8,3.120,1.200,840,0,0.283
KSJT20250119-2,KSJT20250120_022205_V06,9,3.999,1.200,841,0,0.285
KSJT20250122-1,KSJT20250122_224550_V06,0,0.483,1.200,309,1,12695.190
KSJT20250122-1,KSJT20250122_224550_V06,2,0.879,1.200,311,0,384.430
KSJT20250122-1,KSJT20250122_224550_V06,4,1.318,1.200,311,0,3.787
KSJT20250122-1,KSJT20250122_224550_V06,6,1.802,1.200,154,0,0.053
KSJT20250122-1,KSJT20250122_224550_V06,7,2.417,1.200,153,0,0.053
KSJT20250122-1,KSJT20250122_224550_V06,8,3.120,1.200,154,0,0.053
KSJT20250122-1,KSJT20250122_224550_V06,9,3.999,1.200,156,0,0.054
KSJT20250125-1,KSJT20250125_225028_V06,0,0.483,1.200,2419,34,94759.990
KSJT20250125-1,KSJT20250125_225028_V06,2,0.879,1.200,2420,0,863.363
KSJT20250125-1,KSJT20250125_225028_V06,4,1.318,1.200,2423,0,201.468
KSJT20250125-1,KSJT20250125_225028_V06,6,1.802,1.200,1213,0,7.720
KSJT20250125-1,KSJT20250125_225028_V06,7,2.417,1.200,1211,0,4.039
KSJT20250125-1,KSJT20250125_225028_V06,8,3.120,1.200,1211,0,1.704
KSJT20250125-1,KSJT20250125_225028_V06,9,3.999,1.200,1212,0,47.948
KSJT20250125-2,KSJT20250125_235247_V06,0,0.483,1.200,2229,17,88390.418
KSJT20250125-2,KSJT20250125_235247_V06,2,0.879,1.200,2229,0,976.453
KSJT20250125-2,KSJT20250125_235247_V06,4,1.318,1.200,2229,0,232.374
KSJT20250125-2,KSJT20250125_235247_V06,6,1.802,1.200,1115,0,14.016
KSJT20250125-2,KSJT20250125_235247_V06,7,2.417,1.200,1113,0,16.288
KSJT20250125-2,KSJT20250125_235247_V06,8,3.120,1.200,1115,0,17.448
KSJT20250125-2,KSJT20250125_235247_V06,9,3.999,1.200,1118,0,919.684
KSJT20250128-10,KSJT20250129_021541_V06,0,0.483,1.200,729,0,349.383
