track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels
20,KSJT20240722_012855_V06,-15.639,0.053,293.944,149.748,62.930,-100.524,32.049,31465.193,75186.801,20240721_202855,479182,2848
20,KSJT20240722_013331_V06,-11.039,-1.000,293.944,149.748,70.244,-100.524,32.049,35122.193,75186.801,20240721_203331,479183,2243
20,KSJT20240722_013800_V06,-6.556,0.071,265.099,147.589,47.251,-100.677,32.058,23625.467,78177.977,20240721_203800,479197,2445
25,KSJT20240722_014701_V06,2.461,0.133,25.340,212.519,23.547,-101.942,31.757,11773.289,144127.736,20240721_204701,479182,1774
36,KSJT20240722_020929_V06,24.927,0.061,22.748,217.819,27.019,-101.955,31.733,13509.739,144587.611,20240721_210929,479182,2332
42,KSJT20240722_024129_V06,56.927,0.103,370.101,58.437,29.546,-100.119,32.460,14773.006,125764.580,20240721_214129,479191,536
47,KSJT20240722_033750_V06,113.277,0.136,178.061,338.291,21.594,-101.132,31.197,10796.942,63905.047,20240721_223750,479186,587
13,KSJT20240723_033435_V06,110.583,0.056,89.228,393.064,15.251,-101.595,30.947,7625.261,115201.840,20240722_223435,479198,513
13,KSJT20240723_033810_V06,114.167,0.064,88.707,393.129,20.230,-101.598,30.946,10114.934,115453.201,20240722_223810,479180,661
8,KSJT20240723_023403_V06,50.050,0.143,152.035,394.846,13.094,-101.266,30.941,6546.846,87876.622,20240722_213403,479203,356
9,KSJT20240723_023403_V06,50.050,0.050,430.563,470.933,20.659,-99.812,30.598,10329.744,107546.213,20240722_213403,479203,356
10,KSJT20240723_024200_V06,58.000,0.115,75.491,133.476,12.469,-101.682,32.117,6234.318,139762.728,20240722_214200,479192,395
11,KSJT20240723_030506_V06,81.100,0.055,85.735,396.751,14.400,-101.613,30.930,7199.954,117547.828,20240722_220506,479195,347
11,KSJT20240723_030855_V06,84.917,-1.000,85.735,396.751,20.468,-101.613,30.930,10234.204,117547.828,20240722_220855,479178,325
11,KSJT20240723_031243_V06,88.717,0.225,89.171,399.365,10.520,-101.595,30.918,5260.161,116535.924,20240722_221243,479205,248
18,KSJT20240723_040322_V06,139.367,0.060,29.545,213.071,6.524,-101.920,31.755,3261.952,142040.905,20240722_230322,479170,1355
4,KSJT20240726_024823_V06,66.191,0.173,337.477,139.850,74.195,-100.294,32.093,37097.576,82238.460,20240725_214823,479183,96
4,KSJT20240726_025147_V06,69.591,0.075,336.679,140.013,78.741,-100.298,32.092,39370.423,82068.930,20240725_215147,479196,110
6,KSJT20240726_040342_V06,141.508,0.072,220.138,108.933,29.978,-100.916,32.232,14988.964,103543.068,20240725_230342,479178,105
6,KSJT20240726_040719_V06,145.125,0.060,219.340,108.465,34.743,-100.920,32.234,17371.550,103912.980,20240725_230719,479173,152
2,KSJT20240726_012018_V06,-21.892,0.119,465.616,255.049,141.001,-99.620,31.571,70500.748,85803.991,20240725_202018,479166,121
5,KSJT20240726_032409_V06,101.958,0.132,258.808,146.057,43.410,-100.710,32.065,21704.842,79679.300,20240725_222409,479178,126
9,KSJT20240727_020211_V06,20.640,0.085,421.161,321.519,18.381,-99.856,31.272,9190.495,61528.395,20240726_210211,479168,149
10,KSJT20240727_022244_V06,41.190,0.618,333.111,427.481,20.711,-100.319,30.796,10355.297,65855.548,20240726_212244,479171,99
5,KSJT20240729_021742_V06,37.520,0.164,306.437,287.149,8.487,-100.458,31.429,4243.671,7186.503,20240728_211742,479174,239
5,KSJT20240729_022431_V06,44.337,0.684,308.073,284.889,14.132,-100.450,31.439,7066.107,8565.880,20240728_212431,479174,246
5,KSJT20240729_023130_V06,51.320,0.092,310.245,283.075,17.415,-100.438,31.447,8707.620,9892.143,20240728_213130,479177,242
2,KSJT20240729_013024_V06,-9.780,0.088,272.916,388.371,19.260,-100.634,30.973,9629.898,46214.313,20240728_203024,479177,226
2,KSJT20240729_013705_V06,-3.097,0.050,272.231,386.878,25.930,-100.638,30.979,12964.887,45603.787,20240728_203705,479173,215
