track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_weather_pixels,n_highZ_pixels_60,n_highZ_pixels_40,n_animals,n_animals_60,n_animals_40
KEWX19960101-11,KEWX19960102_013825,0,0.500,1.200,633,nan,0,0,713.419,713.419,713.419
KEWX19960101-11,KEWX19960102_013825,2,1.500,1.200,637,nan,0,0,0.289,0.289,0.289
KEWX19960101-11,KEWX19960102_013825,4,2.400,1.200,638,nan,0,0,0.290,0.290,0.290
KEWX19960101-11,KEWX19960102_013825,5,3.300,1.200,638,nan,0,0,27.192,27.192,27.192
KEWX19960102-4,KEWX19960102_231917,0,0.500,1.200,7912,nan,0,0,219747.457,219747.457,219747.457
KEWX19960102-4,KEWX19960102_231917,2,1.500,1.200,8055,nan,0,0,54277.397,54277.397,54277.397
KEWX19960102-4,KEWX19960102_232857,0,0.500,1.200,12714,nan,0,0,282216.239,282216.239,282216.239
KEWX19960102-4,KEWX19960102_232857,2,1.500,1.200,12744,nan,0,0,68860.569,68860.569,68860.569
KEWX19960102-4,KEWX19960102_233837,0,0.500,1.200,13286,nan,0,0,174850.180,174850.180,174850.180
KEWX19960102-4,KEWX19960102_233837,2,1.500,1.200,13288,nan,0,0,92668.931,92668.931,92668.931
KEWX19960102-4,KEWX19960102_234817,0,0.500,1.200,13073,nan,0,0,130855.389,130855.389,130855.389
KEWX19960102-4,KEWX19960102_234817,2,1.500,1.200,13074,nan,0,0,98272.213,98272.213,98272.213
KEWX19960102-4,KEWX19960102_235759,0,0.500,1.200,13140,nan,0,0,117731.963,117731.963,117731.963
KEWX19960102-4,KEWX19960102_235759,2,1.500,1.200,13144,nan,0,0,115217.687,115217.687,115217.687
KEWX19960102-4,KEWX19960103_000804,0,0.500,1.200,13310,nan,0,0,81639.158,81639.158,81639.158
KEWX19960102-4,KEWX19960103_000804,2,1.500,1.200,13327,nan,0,0,109113.476,109113.476,109113.476
KEWX19960102-4,KEWX19960103_001743,0,0.500,1.200,12657,nan,0,0,72926.055,72926.055,72926.055
KEWX19960102-4,KEWX19960103_001743,2,1.500,1.200,12681,nan,0,0,76341.690,76341.690,76341.690
KEWX19960102-4,KEWX19960103_002723,0,0.500,1.200,14307,nan,0,0,39156.781,39156.781,39156.781
KEWX19960102-4,KEWX19960103_002723,2,1.500,1.200,14313,nan,0,0,59464.809,59464.809,59464.809
KEWX19960102-4,KEWX19960103_003703,0,0.500,1.200,13858,nan,0,0,19301.110,19301.110,19301.110
KEWX19960102-4,KEWX19960103_003703,2,1.500,1.200,13866,nan,0,0,23706.755,23706.755,23706.755
KEWX19960102-4,KEWX19960103_004643,0,0.500,1.200,16376,nan,0,0,14427.759,14427.759,14427.759
KEWX19960102-4,KEWX19960103_004643,2,1.500,1.200,16383,nan,0,0,21065.437,21065.437,21065.437
KEWX19960102-5,KEWX19960102_233837,0,0.500,1.200,921,nan,0,0,9105.400,9105.400,9105.400
KEWX19960102-5,KEWX19960102_234817,0,0.500,1.200,2501,nan,0,0,4361.907,4361.907,4361.907
KEWX19960102-5,KEWX19960102_235759,0,0.500,1.200,2627,nan,0,0,5298.320,5298.320,5298.320
KEWX19960102-5,KEWX19960103_000804,0,0.500,1.200,3949,nan,0,0,12865.174,12865.174,12865.174
KEWX19960102-5,KEWX19960103_001743,0,0.500,1.200,5816,nan,0,0,13955.795,13955.795,13955.795
KEWX19960102-5,KEWX19960103_001743,2,1.500,1.200,5827,nan,0,0,3577.241,3577.241,3577.241
KEWX19960102-5,KEWX19960103_002723,0,0.500,1.200,8134,nan,0,0,52094.948,52094.948,52094.948
KEWX19960102-5,KEWX19960103_002723,2,1.500,1.200,8799,nan,0,0,8728.787,8728.787,8728.787
KEWX19960102-5,KEWX19960103_003703,0,0.500,1.200,10496,nan,0,0,92697.655,92697.655,92697.655
KEWX19960102-5,KEWX19960103_003703,2,1.500,1.200,10503,nan,0,0,16166.248,16166.248,16166.248
KEWX19960102-5,KEWX19960103_004643,0,0.500,1.200,2700,nan,0,0,108632.773,108632.773,108632.773
KEWX19960102-5,KEWX19960103_005233,0,0.500,1.200,4328,nan,0,0,141818.186,141818.186,141818.186
KEWX19960102-5,KEWX19960103_005823,0,0.500,1.200,2670,nan,0,0,123703.237,123703.237,123703.237
KEWX19960102-13,KEWX19960103_013322,0,0.500,1.200,2690,nan,0,0,181050.111,181050.111,181050.111
KEWX19960102-13,KEWX19960103_013912,0,0.500,1.200,4728,nan,0,0,210509.071,210509.071,210509.071
KEWX19960102-13,KEWX19960103_014502,0,0.500,1.200,7261,nan,0,0,240642.791,240642.791,240642.791
KEWX19960102-12,KEWX19960103_012732,0,0.500,1.200,2262,nan,0,0,148906.338,148906.338,148906.338
KEWX19960102-12,KEWX19960103_013322,0,0.500,1.200,3923,nan,0,0,192487.492,192487.492,192487.492
KEWX19960102-1,KEWX19960102_225017,0,0.500,1.200,321,nan,0,0,78.733,78.733,78.733
KEWX19960102-1,KEWX19960102_225017,2,1.500,1.200,325,nan,0,0,70.713,70.713,70.713
KEWX19960102-3,KEWX19960102_230937,0,0.500,1.200,39,nan,0,0,392.614,392.614,392.614
KEWX19960102-3,KEWX19960102_230937,2,1.500,1.200,38,nan,0,0,0.014,0.014,0.014
KEWX19960102-3,KEWX19960102_230937,4,2.500,1.200,39,nan,0,0,0.014,0.014,0.014
KEWX19960102-3,KEWX19960102_230937,5,3.500,1.200,41,nan,0,0,0.015,0.015,0.015
KEWX19960102-8,KEWX19960103_002723,0,0.500,1.200,1848,nan,0,0,40216.687,40216.687,40216.687
KEWX19960103-1,KEWX19960104_013737,0,0.500,1.200,1494,nan,0,0,665.673,665.673,665.673
KEWX19960103-1,KEWX19960104_013737,2,1.500,1.200,1470,nan,0,0,1.426,1.426,1.426
KEWX19960104-2,KEWX19960104_231027,0,0.500,1.200,3466,nan,0,5,63765.596,63765.596,48413.372
KEWX19960104-2,KEWX19960104_231027,2,1.500,1.200,3465,nan,0,0,1.515,1.515,1.515
KEWX19960104-2,KEWX19960104_231027,4,2.500,1.200,3474,nan,0,0,1.880,1.880,1.880
KEWX19960104-2,KEWX19960104_231027,5,3.500,1.200,3476,nan,0,0,1.401,1.401,1.401
KEWX19960104-2,KEWX19960104_231027,6,4.500,1.200,3640,nan,0,0,0.839,0.839,0.839
KEWX19960104-2,KEWX19960104_232005,0,0.500,1.200,8184,nan,0,2,61278.555,61278.555,57848.530
KEWX19960104-2,KEWX19960104_232005,2,1.500,1.200,8017,nan,0,0,15.437,15.437,15.437
KEWX19960104-2,KEWX19960104_232005,4,2.500,1.200,8031,nan,0,0,9.470,9.470,9.470
KEWX19960104-2,KEWX19960104_232005,5,3.600,1.200,8039,nan,0,0,5.432,5.432,5.432
KEWX19960104-2,KEWX19960104_232005,6,4.500,1.200,8045,nan,0,0,3.903,3.903,3.903
KEWX19960104-1,KEWX19960104_230050,0,0.500,1.200,5464,nan,0,0,45914.590,45914.590,45914.590
KEWX19960104-1,KEWX19960104_230050,2,1.500,1.200,5465,nan,0,0,1.984,1.984,1.984
KEWX19960104-1,KEWX19960104_230050,4,2.500,1.200,5475,nan,0,0,2.112,2.112,2.112
KEWX19960104-1,KEWX19960104_230050,5,3.500,1.200,5476,nan,0,0,1.371,1.371,1.371
KEWX19960104-1,KEWX19960104_230050,6,4.600,1.200,5482,nan,0,0,1.351,1.351,1.351
KEWX19960105-1,KEWX19960105_234027,0,0.500,1.200,1546,nan,0,0,206.229,206.229,206.229
KEWX19960105-1,KEWX19960105_234027,2,1.500,1.200,1546,nan,0,0,6.668,6.668,6.668
KEWX19960105-1,KEWX19960105_234027,4,2.500,1.200,1557,nan,0,0,0.740,0.740,0.740
KEWX19960105-1,KEWX19960105_234027,5,3.400,1.200,1552,nan,0,0,0.739,0.739,0.739
KEWX19960109-1,KEWX19960109_224137,0,0.500,1.200,2015,nan,0,0,11439.852,11439.852,11439.852
KEWX19960109-1,KEWX19960109_224137,2,1.500,1.200,2012,nan,0,0,0.457,0.457,0.457
KEWX19960109-1,KEWX19960109_224137,4,2.500,1.200,2018,nan,0,0,0.459,0.459,0.459
KEWX19960109-1,KEWX19960109_224137,5,3.500,1.200,2016,nan,0,0,0.460,0.460,0.460
KEWX19960109-1,KEWX19960109_224137,6,4.500,1.200,2018,nan,0,0,0.461,0.461,0.461
KEWX19960110-1,KEWX19960110_223101,0,0.500,1.200,862,nan,0,0,7894.030,7894.030,7894.030
