track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
5,KDFX19990302_013656,56.451,0.987,438.624,273.338,40.817,-99.566,29.391,20408.433,70582.270,19990301_193656
5,KDFX19990302_014650,66.351,0.985,448.237,281.318,49.915,-99.517,29.355,24957.500,74704.688,19990301_194650
5,KDFX19990302_015645,76.267,0.972,453.961,284.136,59.277,-99.488,29.342,29638.291,77388.097,19990301_195645
5,KDFX19990302_020639,86.167,0.867,454.299,285.527,67.295,-99.486,29.335,33647.301,77488.232,19990301_200639
5,KDFX19990302_021633,96.067,0.782,459.165,293.684,74.497,-99.461,29.298,37248.693,79645.335,19990301_201633
5,KDFX19990302_022627,105.967,0.548,466.444,294.368,84.440,-99.424,29.295,42219.929,83269.841,19990301_202627
5,KDFX19990302_023621,115.867,0.112,472.139,300.683,92.380,-99.395,29.266,46189.979,86070.260,19990301_203621
3,KDFX19990302_001744,-22.749,0.516,265.131,192.870,10.761,-100.461,29.756,5380.596,56331.090,19990301_181744
3,KDFX19990302_002738,-12.849,0.906,272.831,199.277,23.194,-100.421,29.727,11596.903,52161.266,19990301_182738
3,KDFX19990302_003732,-2.949,0.961,280.448,203.205,33.655,-100.381,29.709,16827.749,49374.861,19990301_183732
3,KDFX19990302_004726,6.951,0.978,285.087,209.408,42.586,-100.357,29.681,21293.222,45905.826,19990301_184726
3,KDFX19990302_005720,16.851,0.912,293.565,210.075,55.470,-100.314,29.678,27734.843,45077.515,19990301_185720
3,KDFX19990302_010714,26.751,0.145,300.954,222.174,63.091,-100.275,29.624,31545.338,38916.069,19990301_190714
3,KDFX19990302_011709,36.667,0.312,304.692,231.372,75.495,-100.256,29.582,37747.624,34393.924,19990301_191709
3,KDFX19990302_012702,46.551,0.248,308.765,231.896,83.087,-100.235,29.580,41543.724,34332.911,19990301_192702
11,KDFX19990302_013656,56.451,0.487,161.335,195.384,29.941,-100.997,29.742,14970.650,86851.122,19990301_193656
11,KDFX19990302_014650,66.351,0.106,165.082,195.576,45.364,-100.978,29.742,22682.128,85304.453,19990301_194650
11,KDFX19990302_015645,76.267,0.141,168.453,197.334,50.016,-100.960,29.734,25007.857,83433.858,19990301_195645
11,KDFX19990302_020639,86.167,0.051,170.252,195.136,52.571,-100.951,29.744,26285.512,83413.099,19990301_200639
12,KDFX19990302_014650,66.351,0.359,350.375,137.095,21.221,-100.019,30.007,10610.470,85258.042,19990301_194650
12,KDFX19990302_015645,76.267,0.492,351.074,137.299,28.864,-100.016,30.006,14431.883,85264.576,19990301_195645
12,KDFX19990302_020639,86.167,0.135,354.402,138.607,33.267,-99.998,30.000,16633.347,85157.637,19990301_200639
9,KDFX19990302_010714,26.751,0.059,344.355,335.577,11.681,-100.052,29.112,5840.637,28430.235,19990301_190714
9,KDFX19990302_011709,36.667,-1.000,344.355,335.577,27.449,-100.052,29.112,13724.387,28430.235,19990301_191709
9,KDFX19990302_012702,46.551,0.057,345.819,335.851,28.675,-100.045,29.111,14337.674,29088.766,19990301_192702
15,KDFX19990302_022627,105.967,0.068,102.511,400.673,11.105,-101.292,28.815,5552.651,110834.438,19990301_202627
15,KDFX19990302_023621,115.867,0.125,102.533,403.186,18.574,-101.292,28.803,9287.024,111400.528,19990301_203621
15,KDFX19990302_024615,125.767,0.064,100.671,412.525,13.596,-101.301,28.761,6797.981,114448.593,19990301_204615
1,KDFX19990301_232814,-72.249,0.132,470.874,266.534,11.568,-99.400,29.421,5784.241,87060.421,19990301_172814
2,KDFX19990301_235756,-42.549,0.052,191.620,306.371,32.403,-100.838,29.243,16201.260,54283.757,19990301_175756
6,KDFX19990302_005720,16.851,0.538,416.209,234.804,13.233,-99.681,29.565,6616.413,66624.221,19990301_185720
2,KDFX19990303_005200,10.852,0.980,416.004,276.428,13.617,-99.683,29.377,6808.674,59187.140,19990302_185200
2,KDFX19990303_010149,20.669,0.962,416.181,278.989,20.548,-99.682,29.366,10274.210,59032.860,19990302_190149
2,KDFX19990303_011137,30.469,0.902,416.512,292.498,29.912,-99.681,29.305,14956.229,58376.555,19990302_191137
2,KDFX19990303_012125,40.269,0.950,413.919,303.062,37.831,-99.694,29.257,18915.628,56980.245,19990302_192125
2,KDFX19990303_013114,50.086,0.932,415.373,307.535,45.299,-99.687,29.237,22649.453,57809.649,19990302_193114
2,KDFX19990303_014102,59.886,0.955,413.281,331.026,55.553,-99.698,29.131,27776.332,58726.286,19990302_194102
2,KDFX19990303_015050,69.686,0.883,407.783,340.222,65.193,-99.727,29.090,32596.747,57521.527,19990302_195050
2,KDFX19990303_020038,79.486,0.574,410.318,349.927,79.912,-99.714,29.046,39955.877,60544.809,19990302_200038
2,KDFX19990303_021027,89.302,0.349,420.993,358.681,95.852,-99.659,29.006,47926.078,67236.057,19990302_201027
2,KDFX19990303_022015,99.102,0.287,409.337,369.590,99.348,-99.719,28.957,49673.757,64802.440,19990302_202015
2,KDFX19990303_023006,108.952,0.381,400.037,407.655,92.075,-99.768,28.786,46037.408,73479.572,19990302_203006
2,KDFX19990303_023954,118.752,0.146,392.479,416.374,105.179,-99.807,28.747,52589.644,74322.479,19990302_203954
1,KDFX19990303_001248,-28.348,0.963,258.365,202.780,18.071,-100.495,29.711,9035.402,52880.252,19990302_181248
