track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_weather_pixels,n_highZ_pixels_60,n_highZ_pixels_40,n_animals,n_animals_60,n_animals_40
KSJT19970106-1,KSJT19970107_002605,2,1.400,1.200,1675,nan,0,0,2.532,2.532,2.532
KSJT19970106-1,KSJT19970107_002605,4,2.400,1.200,1662,nan,0,0,0.749,0.749,0.749
KSJT19970106-1,KSJT19970107_002605,5,3.400,1.200,1651,nan,0,0,0.746,0.746,0.746
KSJT19970106-1,KSJT19970107_003626,0,0.500,1.200,5943,nan,0,0,1644.472,1644.472,1644.472
KSJT19970106-1,KSJT19970107_003626,2,1.400,1.200,5948,nan,0,0,102.290,102.290,102.290
KSJT19970106-1,KSJT19970107_003626,4,2.500,1.200,5945,nan,0,0,2.686,2.686,2.686
KSJT19970106-1,KSJT19970107_003626,5,3.400,1.200,5955,nan,0,0,3.326,3.326,3.326
KSJT19970106-1,KSJT19970107_004614,0,0.500,1.200,1478,nan,0,0,556.752,556.752,556.752
KSJT19970106-1,KSJT19970107_004614,2,1.400,1.200,1480,nan,0,0,5.720,5.720,5.720
KSJT19970106-1,KSJT19970107_004614,4,2.500,1.200,1472,nan,0,0,0.656,0.656,0.656
KSJT19970106-1,KSJT19970107_004614,5,3.400,1.200,1465,nan,0,0,0.657,0.657,0.657
KSJT19970107-3,KSJT19970108_005859,0,0.500,1.200,973,nan,0,0,3852.312,3852.312,3852.312
KSJT19970107-3,KSJT19970108_005859,2,1.500,1.200,977,nan,0,0,3727.241,3727.241,3727.241
KSJT19970107-3,KSJT19970108_010848,0,0.500,1.200,3207,nan,0,0,10438.222,10438.222,10438.222
KSJT19970107-3,KSJT19970108_010848,2,1.500,1.200,2806,nan,0,0,4457.913,4457.913,4457.913
KSJT19970107-1,KSJT19970107_224111,0,0.500,1.200,628,nan,0,0,270658.889,270658.889,270658.889
KSJT19970107-1,KSJT19970107_224111,2,1.400,1.200,638,nan,0,8,236986.753,236986.753,155610.989
KSJT19970107-1,KSJT19970107_224111,4,2.400,1.200,629,nan,0,0,18198.700,18198.700,18198.700
KSJT19970107-1,KSJT19970107_224111,5,3.400,1.200,629,nan,0,0,352.670,352.670,352.670
KSJT19970107-2,KSJT19970107_230047,0,0.500,1.200,3744,nan,0,0,7357.341,7357.341,7357.341
KSJT19970107-2,KSJT19970107_230047,2,1.400,1.200,3746,nan,0,0,6230.914,6230.914,6230.914
KSJT19970107-2,KSJT19970107_230047,4,2.400,1.200,3740,nan,0,0,2605.445,2605.445,2605.445
KSJT19970107-2,KSJT19970107_230047,5,3.500,1.200,3745,nan,0,0,1806.516,1806.516,1806.516
KSJT19970107-2,KSJT19970107_230047,6,4.500,1.200,3741,nan,0,0,2390.817,2390.817,2390.817
KSJT19970109-1,KSJT19970109_235520,0,0.500,1.200,1248,nan,0,0,79457.915,79457.915,79457.915
